name,industry,symbol
Birlasoft Ltd.,Information Technology,BSOFT
Blue Dart Express Ltd.,Services,BLUEDART
Blue Star Ltd.,Consumer Durables,BLUESTARCO
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC
Borosil Renewables Ltd.,Capital Goods,BORORENEW
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD
Brigade Enterprises Ltd.,Realty,BRIGADE
Brightcom Group Ltd.,Information Technology,BCG
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL
CESC Ltd.,Power,CESC
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA
CRISIL Ltd.,Financial Services,CRISIL
CSB Bank Ltd.,Financial Services,CSBBANK
Campus Activewear Ltd.,Consumer Durables,CAMPUS
Can Fin Homes Ltd.,Financial Services,CANFINHOME
Canara Bank,Financial Services,CANBK
Capri Global Capital Ltd.,Financial Services,CGCL
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND
Ceat Ltd.,Automobile and Auto Components,CEATLTD
Central Bank of India,Financial Services,CENTRALBK
Central Depository Services (India) Ltd.,Financial Services,CDSL
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX
Cera Sanitaryware Ltd,Consumer Durables,CERA
Chalet Hotels Ltd.,Consumer Services,CHALET
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN
Cipla Ltd.,Healthcare,CIPLA
City Union Bank Ltd.,Financial Services,CUB
Clean Science and Technology Ltd.,Chemicals,CLEAN
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP
Coforge Ltd.,Information Technology,COFORGE
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL
Computer Age Management Services Ltd.,Financial Services,CAMS
Container Corporation of India Ltd.,Services,CONCOR
Coromandel International Ltd.,Chemicals,COROMANDEL
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN
CreditAccess Grameen Ltd.,Financial Services,CREDITACC
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON
Cummins India Ltd.,Capital Goods,CUMMINSIND
Cyient Ltd.,Information Technology,CYIENT
DCM Shriram Ltd.,Diversified,DCMSHRIRAM
DLF Ltd.,Realty,DLF
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR
Delhivery Ltd.,Services,DELHIVERY
Delta Corp Ltd.,Consumer Services,DELTACORP
Devyani International Ltd.,Consumer Services,DEVYANI
Divi's Laboratories Ltd.,Healthcare,DIVISLAB
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY
EIH Ltd.,Consumer Services,EIHOTEL
EPL Ltd.,Capital Goods,EPL
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE
Engineers India Ltd.,Construction,ENGINERSIN
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK
Eris Lifesciences Ltd.,Healthcare,ERIS
Escorts Kubota Ltd.,Capital Goods,ESCORTS
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND
FDC Ltd.,Healthcare,FDC
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA
Federal Bank Ltd.,Financial Services,FEDERALBNK
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT
Fine Organic Industries Ltd.,Chemicals,FINEORG
Finolex Cables Ltd.,Capital Goods,FINCABLES
Finolex Industries Ltd.,Capital Goods,FINPIPE
Firstsource Solutions Ltd.,Services,FSL
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR
Fortis Healthcare Ltd.,Healthcare,FORTIS
G R Infraprojects Ltd.,Construction,GRINFRA
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR
GMR Airports Infrastructure Ltd.,Services,GMRINFRA
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF
Garware Technical Fibres Ltd.,Textiles,GARFIBRES
General Insurance Corporation of India,Financial Services,GICRE
Gland Pharma Ltd.,Healthcare,GLAND
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK
Global Health Ltd.,Healthcare,MEDANTA
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP
Godrej Industries Ltd.,Diversified,GODREJIND
Godrej Properties Ltd.,Realty,GODREJPROP
Granules India Ltd.,Healthcare,GRANULES
Graphite India Ltd.,Capital Goods,GRAPHITE
Grasim Industries Ltd.,Construction Materials,GRASIM
Great Eastern Shipping Co. Ltd.,Services,GESHIP
Greenpanel Industries Ltd.,Consumer Durables,GREENPANEL
Grindwell Norton Ltd.,Capital Goods,GRINDWELL
Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC
Gujarat Pipavav Port Ltd.,Services,GPPL
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL
H.E.G. Ltd.,Capital Goods,HEG
HCL Technologies Ltd.,Information Technology,HCLTECH
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC
HDFC Bank Ltd.,Financial Services,HDFCBANK
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE
HFCL Ltd.,Telecommunication,HFCL
HLE Glascoat Ltd.,Capital Goods,HLEGLAS
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS
Havells India Ltd.,Consumer Durables,HAVELLS
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO
Hikal Ltd.,Healthcare,HIKAL
Hindalco Industries Ltd.,Metals & Mining,HINDALCO
Hinduja Global Solutions Ltd.,Services,HGS
Hindustan Aeronautics Ltd.,Capital Goods,HAL
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST
Honeywell Automation India Ltd.,Capital Goods,HONAUT
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO
ICICI Bank Ltd.,Financial Services,ICICIBANK
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI
ICICI Securities Ltd.,Financial Services,ISEC
IDBI Bank Ltd.,Financial Services,IDBI
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB
IDFC Ltd.,Financial Services,IDFC
IFB Industries Ltd.,Consumer Durables,IFBIND
IIFL Finance Ltd.,Financial Services,IIFL
IRB Infrastructure Developers Ltd.,Construction,IRB
ITC Ltd.,Fast Moving Consumer Goods,ITC
ITI Ltd.,Telecommunication,ITI
India Cements Ltd.,Construction Materials,INDIACEM
Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN
Indiabulls Real Estate Ltd.,Realty,IBREALEST
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART
Indian Bank,Financial Services,INDIANB
Indian Energy Exchange Ltd.,Financial Services,IEX
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC
Indian Overseas Bank,Financial Services,IOB
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC
Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL
Indus Towers Ltd.,Telecommunication,INDUSTOWER
IndusInd Bank Ltd.,Financial Services,INDUSINDBK
Infibeam Avenues Ltd.,Financial Services,INFIBEAM
Info Edge (India) Ltd.,Consumer Services,NAUKRI
Infosys Ltd.,Information Technology,INFY
Ingersoll Rand (India) Ltd.,Capital Goods,INGERRAND
Intellect Design Arena Ltd.,Information Technology,INTELLECT
InterGlobe Aviation Ltd.,Services,INDIGO
Ipca Laboratories Ltd.,Healthcare,IPCALAB
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM
J.K. Cement Ltd.,Construction Materials,JKCEMENT
JBM Auto Ltd.,Automobile and Auto Components,JBMA
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI
JK Paper Ltd.,Forest Materials,JKPAPER
JM Financial Ltd.,Financial Services,JMFINANCIL
JSW Energy Ltd.,Power,JSWENERGY
JSW Steel Ltd.,Metals & Mining,JSWSTEEL
Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO
Jindal Stainless Ltd.,Metals & Mining,JSL
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL
Jindal Worldwide Ltd.,Textiles,JINDWORLD
Jio Financial Services Ltd.,Financial Services,JIOFIN
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA
Justdial Ltd.,Consumer Services,JUSTDIAL
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB
K.P.R. Mill Ltd.,Textiles,KPRMILL
KEI Industries Ltd.,Capital Goods,KEI
KNR Constructions Ltd.,Construction,KNRCON
KPIT Technologies Ltd.,Information Technology,KPITTECH
KRBL Ltd.,Fast Moving Consumer Goods,KRBL
KSB Ltd.,Capital Goods,KSB
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER
Kalpataru Projects International Ltd.,Construction,KPIL
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA
Kec International Ltd.,Capital Goods,KEC
Kennametal India Ltd.,Capital Goods,KENNAMET
Keystone Realtors Ltd.,Realty,RUSTOMJEE
Kfin Technologies Ltd.,Financial Services,KFINTECH
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS
L&T Finance Holdings Ltd.,Financial Services,L&TFH
L&T Technology Services Ltd.,Information Technology,LTTS
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN
LTIMindtree Ltd.,Information Technology,LTIM
Lakshmi Machine Works Ltd.,Capital Goods,LAXMIMACH
Larsen & Toubro Ltd.,Construction,LT
Latent View Analytics Ltd.,Information Technology,LATENTVIEW
Laurus Labs Ltd.,Healthcare,LAURUSLABS
Laxmi Organic Industries Ltd.,Chemicals,LXCHEM
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE
Life Insurance Corporation of India,Financial Services,LICI
Linde India Ltd.,Chemicals,LINDEINDIA
Lupin Ltd.,Healthcare,LUPIN
Lux Industries Ltd.,Textiles,LUXIND
MMTC Ltd.,Services,MMTC
MRF Ltd.,Automobile and Auto Components,MRF
MTAR Technologies Ltd.,Capital Goods,MTARTECH
Macrotech Developers Ltd.,Realty,LODHA
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M
Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE
Mahindra Logistics Ltd.,Services,MAHLOG
Manappuram Finance Ltd.,Financial Services,MANAPPURAM
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL
Mankind Pharma Ltd.,Healthcare,MANKIND
Marico Ltd.,Fast Moving Consumer Goods,MARICO
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI
Mastek Ltd.,Information Technology,MASTEK
Max Financial Services Ltd.,Financial Services,MFSL
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK
Medplus Health Services Ltd.,Consumer Services,MEDPLUS
Meghmani Finechem Ltd.,Chemicals,MFL
Metro Brands Ltd.,Consumer Durables,METROBRAND
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS
MphasiS Ltd.,Information Technology,MPHASIS
Multi Commodity Exchange of India Ltd.,Financial Services,MCX
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN
NATCO Pharma Ltd.,Healthcare,NATCOPHARM
NBCC (India) Ltd.,Construction,NBCC
NCC Ltd.,Construction,NCC
NHPC Ltd.,Power,NHPC
NLC India Ltd.,Power,NLCINDIA
NMDC Ltd.,Metals & Mining,NMDC
NMDC Steel Ltd.,Metals & Mining,NSLNISP
NOCIL Ltd.,Chemicals,NOCIL
NTPC Ltd.,Power,NTPC
Narayana Hrudayalaya Ltd.,Healthcare,NH
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO
Oberoi Realty Ltd.,Realty,OBEROIRLTY
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA
One 97 Communications Ltd.,Financial Services,PAYTM
Oracle Financial Services Software Ltd.,Information Technology,OFSS
Orient Electric Ltd.,Consumer Durables,ORIENTELEC
PB Fintech Ltd.,Financial Services,POLICYBZR
PCBL Ltd.,Chemicals,PCBL
PI Industries Ltd.,Chemicals,PIIND
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING
PNC Infratech Ltd.,Construction,PNCINFRA
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX
Page Industries Ltd.,Textiles,PAGEIND
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI
Persistent Systems Ltd.,Information Technology,PERSISTENT
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET
Pfizer Ltd.,Healthcare,PFIZER
Phoenix Mills Ltd.,Realty,PHOENIXLTD
Pidilite Industries Ltd.,Chemicals,PIDILITIND
Piramal Enterprises Ltd.,Financial Services,PEL
Piramal Pharma Ltd.,Healthcare,PPLPHARMA
Poly Medicure Ltd.,Healthcare,POLYMED
Polycab India Ltd.,Capital Goods,POLYCAB
Polyplex Corporation Ltd.,Capital Goods,POLYPLEX
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA
Power Finance Corporation Ltd.,Financial Services,PFC
Power Grid Corporation of India Ltd.,Power,POWERGRID
Praj Industries Ltd.,Capital Goods,PRAJIND
Prestige Estates Projects Ltd.,Realty,PRESTIGE
Prince Pipes and Fittings Ltd.,Capital Goods,PRINCEPIPE
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH
Punjab National Bank,Financial Services,PNB
Quess Corp Ltd.,Services,QUESS
RBL Bank Ltd.,Financial Services,RBLBANK
REC Ltd.,Financial Services,RECLTD
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM
RITES Ltd.,Construction,RITES
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO
Rail Vikas Nigam Ltd.,Construction,RVNL
Rain Industries Ltd,Chemicals,RAIN
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO
Rallis India Ltd.,Chemicals,RALLIS
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF
Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI
RattanIndia Enterprises Ltd.,Services,RTNINDIA
Raymond Ltd.,Textiles,RAYMOND
Redington Ltd.,Services,REDINGTON
Relaxo Footwears Ltd.,Consumer Durables,RELAXO
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE
Restaurant Brands Asia Ltd.,Consumer Services,RBA
Rossari Biotech Ltd.,Chemicals,ROSSARI
Route Mobile Ltd.,Telecommunication,ROUTE
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE
SJVN Ltd.,Power,SJVN
SKF India Ltd.,Capital Goods,SKFINDIA
SRF Ltd.,Chemicals,SRF
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON
Sanofi India Ltd.,Healthcare,SANOFI
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER
Sharda Cropchem Ltd.,Chemicals,SHARDACROP
Shoppers Stop Ltd.,Consumer Services,SHOPERSTOP
Shree Cement Ltd.,Construction Materials,SHREECEM
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN
Shyam Metalics and Energy Ltd.,Metals & Mining,SHYAMMETL
Siemens Ltd.,Capital Goods,SIEMENS
Sobha Ltd.,Realty,SOBHA
Solar Industries India Ltd.,Chemicals,SOLARINDS
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS
Sonata Software Ltd.,Information Technology,SONATSOFTW
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH
State Bank of India,Financial Services,SBIN
Steel Authority of India Ltd.,Metals & Mining,SAIL
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR
Sterlite Technologies Ltd.,Telecommunication,STLTECH
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST
Sunteck Realty Ltd.,Realty,SUNTECK
Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT
Supreme Industries Ltd.,Capital Goods,SUPREMEIND
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR
Suzlon Energy Ltd.,Capital Goods,SUZLON
Swan Energy Ltd.,Realty,SWANENERGY
Syngene International Ltd.,Healthcare,SYNGENE
TCI Express Ltd.,Services,TCIEXP
TCNS Clothing Co. Ltd.,Textiles,TCNSBRANDS
TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG
TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR
Tamilnad Mercantile Bank Ltd.,Financial Services,TMB
Tanla Platforms Ltd.,Information Technology,TANLA
Tata Chemicals Ltd.,Chemicals,TATACHEM
Tata Communications Ltd.,Telecommunication,TATACOMM
Tata Consultancy Services Ltd.,Information Technology,TCS
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM
Tata Elxsi Ltd.,Information Technology,TATAELXSI
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST
Tata Motors Ltd DVR,Automobile and Auto Components,TATAMTRDVR
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS
Tata Power Co. Ltd.,Power,TATAPOWER
Tata Steel Ltd.,Metals & Mining,TATASTEEL
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML
Teamlease Services Ltd.,Services,TEAMLEASE
Tech Mahindra Ltd.,Information Technology,TECHM
Tejas Networks Ltd.,Telecommunication,TEJASNET
The New India Assurance Company Ltd.,Financial Services,NIACL
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM
Thermax Ltd.,Capital Goods,THERMAX
Timken India Ltd.,Capital Goods,TIMKEN
Titan Company Ltd.,Consumer Durables,TITAN
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM
Torrent Power Ltd.,Power,TORNTPOWER
Transport Corporation of India Ltd.,Services,TCI
Trent Ltd.,Consumer Services,TRENT
Trident Ltd.,Textiles,TRIDENT
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI
Triveni Turbine Ltd.,Capital Goods,TRITURBINE
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA
UCO Bank,Financial Services,UCOBANK
UFLEX Ltd.,Capital Goods,UFLEX
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA
UPL Ltd.,Chemicals,UPL
UTI Asset Management Company Ltd.,Financial Services,UTIAMC
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO
Union Bank of India,Financial Services,UNIONBANK
United Breweries Ltd.,Fast Moving Consumer Goods,UBL
United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N
V-Guard Industries Ltd.,Consumer Durables,VGUARD
V-Mart Retail Ltd.,Consumer Services,VMART
V.I.P. Industries Ltd.,Consumer Durables,VIPIND
Vaibhav Global Ltd.,Consumer Durables,VAIBHAVGBL
Vardhman Textiles Ltd.,Textiles,VTL
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL
Vedant Fashions Ltd.,Consumer Services,MANYAVAR
Vedanta Ltd.,Metals & Mining,VEDL
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA
Vinati Organics Ltd.,Chemicals,VINATIORGA
Vodafone Idea Ltd.,Telecommunication,IDEA
Voltas Ltd.,Consumer Durables,VOLTAS
